title,award_class,award_category,name
Cabaret,Production,ART DIRECTION,"Art Direction: Rolf Zehetbauer, Jurgen Kiebach; Set Decoration: Herbert Strabel"
Cabaret,Production,CINEMATOGRAPHY,Geoffrey Unsworth
Cabaret,Directing,DIRECTING,Bob Fosse
Cabaret,Production,FILM EDITING,David Bretherton
Cabaret,Music,MUSIC (Original Song Score or Adaptation Score),Adaptation Score by Ralph Burns
Cabaret,Production,SOUND,"Robert Knudson, David Hildyard"
Cactus Flower,Acting,ACTRESS IN A SUPPORTING ROLE,Goldie Hawn
Calamity Jane,Music,MUSIC (Original Song),Music by Sammy Fain; Lyrics by Paul Francis Webster
California Suite,Acting,ACTRESS IN A SUPPORTING ROLE,Maggie Smith
Call Me Madam,Music,MUSIC (Original Song Score or Adaptation Score),Alfred Newman
Call Me by Your Name,Writing,WRITING (Adapted Screenplay),Screenplay by James Ivory
Camelot,Production,ART DIRECTION,"Art Direction: John Truscott, Edward Carrere; Set Decoration: John W. Brown"
Camelot,Production,COSTUME DESIGN,John Truscott
Camelot,Music,MUSIC (Original Song Score or Adaptation Score),"Alfred Newman, Ken Darby"
Capote,Acting,ACTOR IN A LEADING ROLE,Philip Seymour Hoffman
"Captain Carey, U.S.A.",Music,MUSIC (Original Song),Music and Lyrics by Ray Evans and Jay Livingston
Captains Courageous,Acting,ACTOR,Spencer Tracy
Casablanca,Directing,DIRECTING,Michael Curtiz
Casablanca,Title,BEST PICTURE,Warner Bros.
Casablanca,Writing,WRITING (Screenplay),"Julius J. Epstein, Philip G. Epstein, Howard Koch"
Casals Conducts: 1964,Title,SHORT FILM (Live Action),"Edward Schreiber, Producer"
Cat Ballou,Acting,ACTOR,Lee Marvin
Cavalcade,Production,ART DIRECTION,William S. Darling
Cavalcade,Directing,DIRECTING,Frank Lloyd
Cavalcade,Title,BEST PICTURE,Fox
Chagall,Title,DOCUMENTARY (Short Subject),"Simon Schiffrin, Producer"
Champion,Production,FILM EDITING,Harry Gerstad
Character,Title,INTERNATIONAL FEATURE FILM,The Netherlands
Charade,Title,SHORT FILM (Animated),"Jon Minnis, Producer"
Chariots of Fire,Production,COSTUME DESIGN,Milena Canonero
Chariots of Fire,Music,MUSIC (Original Score),Vangelis
Chariots of Fire,Title,BEST PICTURE,"David Puttnam, Producer"
Chariots of Fire,Writing,WRITING (Original Screenplay),Colin Welland
Charly,Acting,ACTOR,Cliff Robertson
Chernobyl Heart,Title,DOCUMENTARY (Short Subject),Maryann DeLeo
Chicago,Acting,ACTRESS IN A SUPPORTING ROLE,Catherine Zeta-Jones
Chicago,Production,ART DIRECTION,Art Direction: John Myhre; Set Decoration: Gordon Sim
Chicago,Production,COSTUME DESIGN,Colleen Atwood
Chicago,Production,FILM EDITING,Martin Walsh
Chicago,Title,BEST PICTURE,"Martin Richards, Producer"
Chicago,Production,SOUND,"Michael Minkler, Dominick Tavella, David Lee"
Children of a Lesser God,Acting,ACTRESS IN A LEADING ROLE,Marlee Matlin
Chinatown,Writing,WRITING (Original Screenplay),Robert Towne
Churchill's Island,Title,DOCUMENTARY (Short Subject),National Film Board of Canada
Cimarron,Production,ART DIRECTION,Max Rée
Cimarron,Title,BEST PICTURE,RKO Radio
Cimarron,Writing,WRITING (Adapted Screenplay),Howard Estabrook
Cinema Paradiso,Title,INTERNATIONAL FEATURE FILM,Italy
Citizen Kane,Writing,WRITING (Original Screenplay),"Herman J. Mankiewicz, Orson Welles"
CitizenFour,Title,DOCUMENTARY (Feature),"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky"
City Slickers,Acting,ACTOR IN A SUPPORTING ROLE,Jack Palance
City of Wax,Title,SHORT SUBJECT (Novelty),"Stacy Woodard and Horace Woodard, Producers"
Cleopatra,Production,CINEMATOGRAPHY,Victor Milner
Cleopatra,Production,ART DIRECTION (Color),"Art Direction: John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga; Set Decoration: Walter M. Scott, Paul S. Fox, Ray Moyer"
Cleopatra,Production,CINEMATOGRAPHY (Color),Leon Shamroy
Cleopatra,Production,COSTUME DESIGN (Color),"Irene Sharaff, Vittorio Nino Novarese, Renie"
Cleopatra,Production,VISUAL EFFECTS,"Emil Kosa, Jr."
Climbing the Matterhorn,Title,SHORT SUBJECT (Two-reel),"Irving Allen, Producer"
Close Encounters of the Third Kind,Production,CINEMATOGRAPHY,Vilmos Zsigmond
Close Encounters of the Third Kind,Special,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),Frank E. Warner
Close Harmony,Title,DOCUMENTARY (Short Subject),"Nigel Noble, Producer"
Closed Mondays,Title,SHORT FILM (Animated),"Will Vinton and Bob Gardiner, Producers"
Closely Watched Trains,Title,INTERNATIONAL FEATURE FILM,Czechoslovakia
Coal Miner's Daughter,Acting,ACTRESS IN A LEADING ROLE,Sissy Spacek
Coco,Title,ANIMATED FEATURE FILM,Lee Unkrich and Darla K. Anderson
Coco,Music,MUSIC (Original Song),Music and Lyric by Kristen Anderson-Lopez and Robert Lopez
Cocoon,Acting,ACTOR IN A SUPPORTING ROLE,Don Ameche
Cocoon,Production,VISUAL EFFECTS,"Ken Ralston, Ralph McQuarrie, Scott Farrar, David Berry"
Cold Mountain,Acting,ACTRESS IN A SUPPORTING ROLE,Renée Zellweger
Colette,Title,DOCUMENTARY (Short Subject),Anthony Giacchino and Alice Doyard
"Come Back, Little Sheba",Acting,ACTRESS,Shirley Booth
Come and Get It,Acting,ACTOR IN A SUPPORTING ROLE,Walter Brennan
Coming Home,Acting,ACTOR IN A LEADING ROLE,Jon Voight
Coming Home,Acting,ACTRESS IN A LEADING ROLE,Jane Fonda
Coming Home,Writing,WRITING (Original Screenplay),"Story by Nancy Dowd; Screenplay by Waldo Salt, Robert C. Jones"
Common Threads: Stories from the Quilt,Title,DOCUMENTARY (Feature),"Robert Epstein and Bill Couturié, Producers"
Cool Hand Luke,Acting,ACTOR IN A SUPPORTING ROLE,George Kennedy
Coquette,Acting,ACTRESS,Mary Pickford
Cover Girl,Music,MUSIC (Original Song Score or Adaptation Score),"Morris Stoloff, Carmen Dragon"
Crac,Title,SHORT FILM (Animated),"Frédéric Back, Producer"
Crash,Production,FILM EDITING,Hughes Winborne
Crash,Title,BEST PICTURE,"Paul Haggis and Cathy Schulman, Producers"
Crash,Writing,WRITING (Original Screenplay),Screenplay by Paul Haggis & Bobby Moresco; Story by Paul Haggis
Crash Dive,Production,VISUAL EFFECTS,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman
Crashing the Water Barrier,Title,SHORT SUBJECT (One-reel),"Konstantin Kalser, Producer"
Crazy Heart,Acting,ACTOR IN A LEADING ROLE,Jeff Bridges
Crazy Heart,Music,MUSIC (Original Song),Music and Lyric by Ryan Bingham and T Bone Burnett
Creature Comforts,Title,SHORT FILM (Animated),Nick Park
Cries and Whispers,Production,CINEMATOGRAPHY,Sven Nykvist
Crisis Hotline: Veterans Press 1,Title,DOCUMENTARY (Short Subject),Ellen Goosenberg Kent and Dana Perry
Cromwell,Production,COSTUME DESIGN,Nino Novarese
"Crouching Tiger, Hidden Dragon",Production,ART DIRECTION,Tim Yip
"Crouching Tiger, Hidden Dragon",Production,CINEMATOGRAPHY,Peter Pau
"Crouching Tiger, Hidden Dragon",Title,INTERNATIONAL FEATURE FILM,Taiwan
"Crouching Tiger, Hidden Dragon",Music,MUSIC (Original Score),Tan Dun
Cruella,Production,COSTUME DESIGN,Jenny Beavan
Curfew,Title,SHORT FILM (Live Action),Shawn Christensen
Cyrano de Bergerac,Acting,ACTOR,José Ferrer
Cyrano de Bergerac,Production,COSTUME DESIGN,Franca Squarciapino
Czechoslovakia 1968,Title,DOCUMENTARY (Short Subject),"Denis Sanders and Robert M. Fresco, Producers"
Dallas Buyers Club,Acting,ACTOR IN A LEADING ROLE,Matthew McConaughey
Dallas Buyers Club,Acting,ACTOR IN A SUPPORTING ROLE,Jared Leto
Dallas Buyers Club,Production,MAKEUP AND HAIRSTYLING,Adruitha Lee and Robin Mathews
Dances With Wolves,Production,CINEMATOGRAPHY,Dean Semler
Dances With Wolves,Directing,DIRECTING,Kevin Costner
Dances With Wolves,Production,FILM EDITING,Neil Travis
Dances With Wolves,Music,MUSIC (Original Score),John Barry
Dances With Wolves,Title,BEST PICTURE,"Jim Wilson and Kevin Costner, Producers"
Dances With Wolves,Production,SOUND,"Jeffrey Perkins, Bill W. Benton, Greg Watkins, Russell Williams II"
Dances With Wolves,Writing,WRITING (Adapted Screenplay),Michael Blake
Dangerous,Acting,ACTRESS,Bette Davis
Dangerous Liaisons,Production,ART DIRECTION,Art Direction: Stuart Craig; Set Decoration: Gerard James
Dangerous Liaisons,Production,COSTUME DESIGN,James Acheson
Dangerous Liaisons,Writing,WRITING (Adapted Screenplay),Christopher Hampton
Dangerous Moves,Title,INTERNATIONAL FEATURE FILM,Switzerland
Darkest Hour,Acting,ACTOR IN A LEADING ROLE,Gary Oldman
Darkest Hour,Production,MAKEUP AND HAIRSTYLING,"Kazuhiro Tsuji, David Malinowski and Lucy Sibbick"
Darling,Acting,ACTRESS,Julie Christie
Darling,Production,COSTUME DESIGN (Black-and-White),Julie Harris
Darling,Writing,WRITING (Original Screenplay),Frederic Raphael
Day for Night,Title,INTERNATIONAL FEATURE FILM,France
Day of the Painter,Title,SHORT FILM (Live Action),"Ezra R. Baker, Producer"
Daybreak in Udi,Title,DOCUMENTARY (Feature),Crown Film Unit
Days of Heaven,Production,CINEMATOGRAPHY,Nestor Almendros
Days of Waiting,Title,DOCUMENTARY (Short Subject),"Steven Okazaki, Producer"
Days of Wine and Roses,Music,MUSIC (Original Song),Music by Henry Mancini; Lyrics by Johnny Mercer
Dead Man Walking,Acting,ACTRESS IN A LEADING ROLE,Susan Sarandon
Dead Poets Society,Writing,WRITING (Original Screenplay),Tom Schulman
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",Title,DOCUMENTARY (Short Subject),"Debra Chasnoff, Producer"
Dear Basketball,Title,SHORT FILM (Animated),Glen Keane and Kobe Bryant
Dear Diary,Title,SHORT FILM (Live Action),"David Frankel, Barry Jossen"
Death Becomes Her,Production,VISUAL EFFECTS,"Ken Ralston, Doug Chiang, Doug Smythe, Tom Woodruff, Jr."
Death on the Nile,Production,COSTUME DESIGN,Anthony Powell
December 7th,Title,DOCUMENTARY (Short Subject),United States Navy
Declaration of Independence,Title,SHORT SUBJECT (Two-reel),Warner Bros.
Defending Our Lives,Title,DOCUMENTARY (Short Subject),"Margaret Lazarus, Renner Wunderlich"
Departures,Title,INTERNATIONAL FEATURE FILM,Japan
Der Fuehrer's Face,Title,SHORT FILM (Animated),"Walt Disney, Producer"
Dersu Uzala,Title,INTERNATIONAL FEATURE FILM,Union of Soviet Socialist Republics
Desert Victory,Title,DOCUMENTARY (Feature),British Ministry of Information
Design for Death,Title,DOCUMENTARY (Feature),"Sid Rogell, Executive Producer; Theron Warth and Richard O. Fleischer, Producers"
Designing Woman,Writing,WRITING (Original Screenplay),George Wells
Destination Moon,Production,VISUAL EFFECTS,George Pal Productions
Dick Tracy,Production,ART DIRECTION,Art Direction: Richard Sylbert; Set Decoration: Rick Simpson
Dick Tracy,Production,MAKEUP AND HAIRSTYLING,"John Caglione, Jr., Doug Drexler"
Dick Tracy,Music,MUSIC (Original Song),Music and Lyric by Stephen Sondheim
Dirty Dancing,Music,MUSIC (Original Song),"Music by Franke Previte, John DeNicola and Donald Markowitz; Lyric by Franke Previte"
Disraeli,Acting,ACTOR,George Arliss
Divorce--Italian Style,Writing,WRITING (Original Screenplay),"Ennio de Concini, Alfredo Giannetti, Pietro Germi"
Django Unchained,Acting,ACTOR IN A SUPPORTING ROLE,Christoph Waltz
Django Unchained,Writing,WRITING (Original Screenplay),Written by Quentin Tarantino
Doctor Dolittle,Music,MUSIC (Original Song),Music and Lyrics by Leslie Bricusse
Doctor Dolittle,Production,VISUAL EFFECTS,L. B. Abbott
Doctor Zhivago,Production,ART DIRECTION (Color),"Art Direction: John Box, Terry Marsh; Set Decoration: Dario Simoni"
Doctor Zhivago,Production,CINEMATOGRAPHY (Color),Freddie Young
Doctor Zhivago,Production,COSTUME DESIGN (Color),Phyllis Dalton
Doctor Zhivago,Music,MUSIC (Original Score),Maurice Jarre
Doctor Zhivago,Writing,WRITING (Adapted Screenplay),Robert Bolt
Dodsworth,Production,ART DIRECTION,Richard Day
Dog Day Afternoon,Writing,WRITING (Original Screenplay),Frank Pierson
Don't,Title,DOCUMENTARY (Short Subject),"Robin Lehman, Producer"
Down and Out in America,Title,DOCUMENTARY (Feature),"Joseph Feury and Milton Justice, Producers"
Dr. Jekyll and Mr. Hyde,Acting,ACTOR,Fredric March
Dr. Seuss' How the Grinch Stole Christmas,Production,MAKEUP AND HAIRSTYLING,"Rick Baker, Gail Ryan"
Dreamgirls,Acting,ACTRESS IN A SUPPORTING ROLE,Jennifer Hudson
Dreamgirls,Production,SOUND MIXING,"Michael Minkler, Bob Beemer and Willie Burton"
Drive My Car,Title,INTERNATIONAL FEATURE FILM,Japan
Driving Miss Daisy,Acting,ACTRESS IN A LEADING ROLE,Jessica Tandy
Driving Miss Daisy,Production,MAKEUP AND HAIRSTYLING,"Manlio Rocchetti, Lynn Barber, Kevin Haney"
Driving Miss Daisy,Title,BEST PICTURE,"Richard D. Zanuck and Lili Fini Zanuck, Producers"
Driving Miss Daisy,Writing,WRITING (Adapted Screenplay),Alfred Uhry
Dumbo,Music,MUSIC (Original Song Score or Adaptation Score),"Frank Churchill, Oliver Wallace"
Dune,Production,CINEMATOGRAPHY,Greig Fraser
Dune,Production,FILM EDITING,Joe Walker
Dune,Music,MUSIC (Original Score),Hans Zimmer
Dune,Production,PRODUCTION DESIGN,Production Design: Patrice Vermette; Set Decoration: Zsuzsanna Sipos
Dune,Production,SOUND,"Mac Ruth, Mark Mangini, Theo Green, Doug Hemphill and Ron Bartlett"
Dune,Production,VISUAL EFFECTS,"Paul Lambert, Tristan Myles, Brian Connor and Gerd Nefzer"
Dunkirk,Production,FILM EDITING,Lee Smith
Dunkirk,Production,SOUND EDITING,Richard King and Alex Gibson
Dunkirk,Production,SOUND MIXING,"Gregg Landaker, Gary A. Rizzo and Mark Weingarten"
Dylan Thomas,Title,DOCUMENTARY (Short Subject),"Jack Howells, Producer"
E.T. The Extra-Terrestrial,Music,MUSIC (Original Score),John Williams
E.T. The Extra-Terrestrial,Production,SOUND,"Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa"
E.T. The Extra-Terrestrial,Production,SOUND EDITING,"Charles L. Campbell, Ben Burtt"
E.T. The Extra-Terrestrial,Production,VISUAL EFFECTS,"Carlo Rambaldi, Dennis Muren, Kenneth F. Smith"
Earthquake,Production,SOUND,"Ronald Pierce, Melvin Metcalfe, Sr."
Earthquake,Special,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Frank Brendel, Glen Robinson, Albert Whitlock"
East of Eden,Acting,ACTRESS IN A SUPPORTING ROLE,Jo Van Fleet
Easter Parade,Music,MUSIC (Original Song Score or Adaptation Score),"Johnny Green, Roger Edens"
Ed Wood,Acting,ACTOR IN A SUPPORTING ROLE,Martin Landau
Ed Wood,Production,MAKEUP AND HAIRSTYLING,"Rick Baker, Ve Neill, Yolanda Toussieng"
Educating Peter,Title,DOCUMENTARY (Short Subject),"Thomas C. Goodwin and Gerardine Wurzburg, Producers"
Election Night (Valgaften),Title,SHORT FILM (Live Action),"Kim Magnusson, Anders Thomas Jensen"
Elizabeth,Production,MAKEUP AND HAIRSTYLING,Jenny Shircore
Elizabeth: The Golden Age,Production,COSTUME DESIGN,Alexandra Byrne
Elmer Gantry,Acting,ACTOR,Burt Lancaster
Elmer Gantry,Acting,ACTRESS IN A SUPPORTING ROLE,Shirley Jones
Elmer Gantry,Writing,WRITING (Adapted Screenplay),Richard Brooks
Emma,Music,MUSIC (Original Song Score or Adaptation Score),Rachel Portman
Encanto,Title,ANIMATED FEATURE FILM,"Jared Bush, Byron Howard, Yvett Merino and Clark Spencer"
Erin Brockovich,Acting,ACTRESS IN A LEADING ROLE,Julia Roberts
Ersatz (The Substitute),Title,SHORT FILM (Animated),Zagreb Film
Eskimo,Production,FILM EDITING,Conrad Nervig
Eternal Sunshine of the Spotless Mind,Writing,WRITING (Original Screenplay),Screenplay by Charlie Kaufman; Story by Charlie Kaufman & Michel Gondry & Pierre Bismuth
Every Child,Title,SHORT FILM (Animated),"Derek Lamb, Producer"
Everything Everywhere All at Once,Acting,ACTOR IN A SUPPORTING ROLE,Ke Huy Quan
Everything Everywhere All at Once,Acting,ACTRESS IN A LEADING ROLE,Michelle Yeoh
Everything Everywhere All at Once,Acting,ACTRESS IN A SUPPORTING ROLE,Jamie Lee Curtis
Everything Everywhere All at Once,Directing,DIRECTING,Daniel Kwan and Daniel Scheinert
Everything Everywhere All at Once,Production,FILM EDITING,Paul Rogers
Everything Everywhere All at Once,Title,BEST PICTURE,"Daniel Kwan, Daniel Scheinert and Jonathan Wang, Producers"
Everything Everywhere All at Once,Writing,WRITING (Original Screenplay),Written by Daniel Kwan & Daniel Scheinert
Evita,Music,MUSIC (Original Song),Music by Andrew Lloyd Webber; Lyric by Tim Rice
Ex Machina,Production,VISUAL EFFECTS,"Andrew Whitehurst, Paul Norris, Mark Ardington and Sara Bennett"
Exodus,Music,MUSIC (Original Score),Ernest Gold
Facing Your Danger,Title,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer"
Fame,Music,MUSIC (Original Score),Michael Gore
Fame,Music,MUSIC (Original Song),Music by Michael Gore; Lyric by Dean Pitchford
Fanny & Alexander,Production,ART DIRECTION,Anna Asp
Fanny & Alexander,Production,CINEMATOGRAPHY,Sven Nykvist
Fanny & Alexander,Production,COSTUME DESIGN,Marik Vos
Fanny & Alexander,Title,INTERNATIONAL FEATURE FILM,Sweden
Fantastic Beasts and Where to Find Them,Production,COSTUME DESIGN,Colleen Atwood
Fantastic Voyage,Production,ART DIRECTION (Color),"Art Direction: Jack Martin Smith, Dale Hennesy; Set Decoration: Walter M. Scott, Stuart A. Reiss"
Fantastic Voyage,Production,VISUAL EFFECTS,Art Cruickshank
Fargo,Acting,ACTRESS IN A LEADING ROLE,Frances McDormand
Fargo,Writing,WRITING (Original Screenplay),"Ethan Coen, Joel Coen"
Father Goose,Writing,WRITING (Original Screenplay),"Story by S. H. Barnett; Screenplay by Peter Stone, Frank Tarloff"
Father and Daughter,Title,SHORT FILM (Animated),Michael Dudok de Wit
Feast,Title,SHORT FILM (Animated),Patrick Osborne and Kristina Reed
Federico Fellini's 8-1/2,Production,COSTUME DESIGN (Black-and-White),Piero Gherardi
Federico Fellini's 8-1/2,Title,INTERNATIONAL FEATURE FILM,Italy
Fellini's Casanova,Production,COSTUME DESIGN,Danilo Donati
Fences,Acting,ACTRESS IN A SUPPORTING ROLE,Viola Davis
Ferdinand the Bull,Title,SHORT FILM (Animated),"Walt Disney, Producer"
Fiddler on the Roof,Production,CINEMATOGRAPHY,Oswald Morris
Fiddler on the Roof,Music,MUSIC (Original Song Score or Adaptation Score),Adaptation Score by John Williams
Fiddler on the Roof,Production,SOUND,"Gordon K. McCallum, David Hildyard"
Finding Nemo,Title,ANIMATED FEATURE FILM,Andrew Stanton
Finding Neverland,Music,MUSIC (Original Score),Jan A.P. Kaczmarek
First Man,Production,VISUAL EFFECTS,"Paul Lambert, Ian Hunter, Tristan Myles and J.D. Schwalm"
First Steps,Title,DOCUMENTARY (Short Subject),United Nations Division of Films and Visual Information
Flamenco at 5:15,Title,DOCUMENTARY (Short Subject),"Cynthia Scott and Adam Symansky, Producers"
Flashdance,Music,MUSIC (Original Song),Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara
Flowers and Trees,Title,SHORT FILM (Animated),"Walt Disney, Producer"
For Scent-Imental Reasons,Title,SHORT FILM (Animated),"Edward Selzer, Producer"
For Whom the Bell Tolls,Acting,ACTRESS IN A SUPPORTING ROLE,Katina Paxinou
For the Birds,Title,SHORT FILM (Animated),Ralph Eggleston
Forbidden Games,Title,INTERNATIONAL FEATURE FILM,NA
Ford v Ferrari,Production,FILM EDITING,Michael McCusker and Andrew Buckland
Ford v Ferrari,Production,SOUND EDITING,Donald Sylvester
Forrest Gump,Acting,ACTOR IN A LEADING ROLE,Tom Hanks
Forrest Gump,Directing,DIRECTING,Robert Zemeckis
Forrest Gump,Production,FILM EDITING,Arthur Schmidt
Forrest Gump,Title,BEST PICTURE,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers"
Forrest Gump,Production,VISUAL EFFECTS,"Ken Ralston, George Murphy, Stephen Rosenbaum, Allen Hall"
Forrest Gump,Writing,WRITING (Adapted Screenplay),Eric Roth
Frank Film,Title,SHORT FILM (Animated),"Frank Mouris, Producer"
Franz Kafka's It's a Wonderful Life,Title,SHORT FILM (Live Action),"Peter Capaldi, Ruth Kenley-Letts"
Free Solo,Title,DOCUMENTARY (Feature),"Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes and Shannon Dill"
Freeheld,Title,DOCUMENTARY (Short Subject),Cynthia Wade and Vanessa Roth
Frenchman's Creek,Production,ART DIRECTION (Color),"Art Direction: Hans Dreier, Ernst Fegte; Interior Decoration: Sam Comer"
